"","sample_id","treatment_group"
"1",657317,"Control"
"2",407401,"Control"
"3",835249,"control"
"4",490084,"Treatment"
"5",452567,"Treatment"
"6",480918,"Control"
"7",994571,"Treatment"
"8",248286,"Treatment"
"9",840149,"Treatment"
"10",804190,"Treatment"
"11",993751,"Control"
"12",403695,"Control"
"13",336989,"control"
"14",263925,"Control"
"15",318517,"Control"
"16",273129,"Control"
"17",994861,"Treatment"
"18",248138,"Treatment"
"19",266888,"Control"
"20",769101,"Treatment"
"21",492993,"control"
"22",569324,"Treatment"
"23",917531,"Treatment"
"24",870332,"Treatment"
"25",872920,"Control"
"26",611879,"Treatment"
"27",639327,"Treatment"
"28",123878,"Control"
"29",199598,"Treatment"
"30",871144,"Control"
